% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.866417638e+03 +2.866417638e+03 +3.866417638e+03 +3.866417638e+03 -4.3342e+00 -2.9001e+00 +3.5227e+00 -7.8903e-01 -4.3070e+00 +3.2291e-01 -3.1289e+00 -8.1556e-01 -3.6550e+00 -4.2706e+00 +4.2051e+00 -1.2945e-01 -4.8891e+00 +3.7175e+00 +1.6126e+00 -2.8117e-01 +4.9738e+00 -3.7972e+00 +1.2364e+00 -2.9306e+00
2 +9.267410620e+02 +9.267410620e+02 +1.926741062e+03 +1.926741062e+03 +6.1284e-01 -3.1066e+00 +2.7991e+00 -5.5628e-01 +1.4927e+00 -3.9346e+00 -5.4154e-01 -1.1458e-01 -3.8131e-01 +2.8834e+00 -3.2283e+00 -3.7934e+00 +2.1254e+00 +3.6436e+00 +3.7546e+00 -2.3926e+00 +3.7115e+00 -4.0994e+00 +1.2380e+00 -3.7178e-01
23 +6.991914595e+02 +6.991914595e+02 +1.699191460e+03 +1.699191460e+03 -2.1187e+00 +4.3293e+00 +3.8146e+00 +3.0033e+00 -2.8261e+00 +2.1122e+00 -3.4918e+00 +4.1012e+00 -9.2672e-02 +1.9898e+00 -3.6776e+00 +8.0616e-01 -4.0247e+00 +4.3761e-01 +3.0314e-01 +2.6197e+00 +3.0062e+00 -4.4858e+00 -4.7426e+00 -3.0159e+00
556 +5.740084100e+02 +5.740084100e+02 +1.574008410e+03 +1.574008410e+03 +2.3413e+00 +4.0315e+00 +3.4737e+00 +1.4467e+00 +2.6033e+00 -2.5216e+00 +2.1228e+00 -8.8708e-01 -4.5985e+00 -1.0195e+00 +3.5778e+00 -3.7879e+00 +5.4201e-01 +1.1057e+00 -2.6578e-01 +4.1928e+00 -1.1750e-01 +9.0603e-01 +1.1832e+00 -3.1037e-01
979 +5.509067822e+02 +5.509067822e+02 +1.550906782e+03 +1.550906782e+03 -1.5316e+00 +1.5785e+00 +2.1953e+00 -7.1964e-01 +2.2892e+00 -3.5044e+00 +3.4852e-01 +4.0466e+00 -4.1915e-01 +2.3750e+00 +1.1642e-01 +5.1689e-01 +1.2764e+00 -4.0370e+00 +4.3208e+00 +4.1559e+00 +2.4685e+00 -3.3301e+00 +3.1458e+00 -1.0695e+00
1856 +4.959376364e+02 +4.959376364e+02 +1.495937636e+03 +1.495937636e+03 +4.0048e-01 +7.7169e-01 -6.5397e-01 +1.3789e-01 +3.2272e+00 -1.6729e-01 -3.8616e+00 +3.2344e+00 -2.2646e+00 -4.9143e-01 -3.8373e+00 -3.4591e+00 -3.4198e+00 -4.1638e+00 +1.9731e+00 -1.8426e+00 +4.8510e+00 -3.8634e-01 +5.0124e-03 +1.7542e+00
4869 +4.888000114e+02 +4.888000114e+02 +1.488800011e+03 +1.488800011e+03 -1.9036e+00 +6.8762e-01 +2.8961e+00 +3.8449e+00 +3.2804e+00 -7.2149e-01 -2.5065e+00 +1.2486e+00 -1.8173e+00 -4.8271e+00 -2.7304e+00 -1.9720e+00 +1.0778e+00 +3.1768e+00 +4.3808e+00 +2.1699e+00 +9.6634e-01 +3.1650e+00 -1.3916e+00 -3.0351e+00
14716 +4.253721288e+02 +4.253721288e+02 +1.425372129e+03 +1.425372129e+03 -3.3313e-01 +3.7913e+00 +4.7904e-01 +1.3911e+00 +4.2142e+00 -2.9014e+00 +2.2980e-01 +4.1729e+00 -4.5670e+00 -3.0452e-01 -1.3784e+00 -4.7695e+00 +3.3601e-01 -3.5384e+00 -2.8877e+00 -1.0581e-01 +2.1547e+00 +1.3559e+00 +9.6215e-01 -1.9640e+00
120981 +4.022528512e+02 +4.022528512e+02 +1.402252851e+03 +1.402252851e+03 -3.2970e+00 +4.1005e+00 +1.0508e+00 +3.5952e+00 -2.9934e-01 -3.0771e-01 -5.0802e-01 -4.7330e-01 -4.9254e+00 -3.1498e-01 -2.1720e+00 -2.5185e+00 +1.9950e+00 -1.2624e+00 -1.0736e+00 +2.9301e+00 +3.6961e+00 -4.6587e-01 -1.8402e+00 -9.7517e-01
211695 +3.940887165e+02 +3.940887165e+02 +1.394088716e+03 +1.394088716e+03 +5.2163e-01 +4.4416e+00 +4.9813e+00 +1.9370e+00 -6.5837e-04 -1.3057e+00 -2.3085e+00 +2.7979e+00 +1.0055e-01 +2.4956e+00 -1.3918e+00 -2.5630e+00 -1.0938e+00 +7.3629e-01 +1.6655e+00 +4.6947e+00 +1.9086e+00 -3.2819e+00 -1.3931e+00 -5.9020e-01
401964 +3.606423905e+02 +3.606423905e+02 +1.360642390e+03 +1.360642390e+03 +5.5468e-02 +2.5336e+00 +4.3258e+00 +2.0476e+00 +4.2443e+00 -5.5598e-01 -3.3579e+00 -1.0627e+00 -1.7104e+00 -4.3669e-01 -3.3131e+00 -1.3999e+00 +1.7606e+00 -2.7606e+00 +1.6785e+00 +1.9903e+00 +4.1169e+00 +4.5497e-02 +7.9545e-01 +1.4642e+00
1086394 +3.377740944e+02 +3.377740944e+02 +1.337774094e+03 +1.337774094e+03 -1.7323e-01 +4.5383e+00 +3.9043e+00 +1.6194e+00 +2.6108e+00 -1.5794e+00 -4.3737e+00 +7.3772e-02 +4.2932e-01 -1.5691e+00 -3.1393e+00 -4.1081e-01 -2.3462e+00 +7.2241e-02 +1.3293e+00 +3.5540e+00 +3.3881e+00 -3.0813e+00 -3.9047e+00 -1.5365e-01
1474281 +3.189163288e+02 +3.189163288e+02 +1.318916329e+03 +1.318916329e+03 -2.1080e-01 +4.3387e+00 +1.9762e+00 +2.2573e+00 +2.9682e+00 -1.6258e+00 -6.0866e-02 +2.9373e+00 -3.0391e+00 +7.6477e-01 -7.1043e-01 +6.2443e-01 +6.5958e-01 -2.6815e+00 +4.2529e+00 +2.8519e+00 +2.6228e+00 -2.3479e+00 -1.7059e+00 +1.6687e-01
1585036 +3.029417857e+02 +3.029417857e+02 +1.302941786e+03 +1.302941786e+03 -3.9097e+00 +3.6901e+00 +3.3610e+00 +4.3403e+00 +3.1196e+00 -4.6197e+00 -3.7218e-01 +9.6901e-01 +2.0154e-01 -2.6353e+00 -1.4205e+00 -6.1773e-01 -1.9074e+00 -4.8159e+00 +1.3173e+00 +3.5934e+00 +3.0278e+00 -2.7518e+00 -3.2566e+00 +1.8829e+00
5713794 +3.005351097e+02 +3.005351097e+02 +1.300535110e+03 +1.300535110e+03 -1.3494e+00 +2.2808e+00 +4.3178e+00 +4.6456e+00 +4.0488e+00 -6.1277e-01 -1.0328e+00 +5.0884e-01 +1.5173e+00 +6.5707e-01 -7.7631e-01 -1.1758e+00 -2.8863e-02 -2.5842e+00 +4.4442e+00 +3.7005e+00 +3.6331e+00 -2.2177e-01 -2.5774e-01 +1.0439e+00
7508091 +2.488122239e+02 +2.488122239e+02 +1.248812224e+03 +1.248812224e+03 -5.3536e-01 +2.7575e+00 +1.2656e+00 +3.9884e+00 +3.9309e+00 -1.6605e+00 +1.5074e+00 +6.1277e-01 -1.0427e+00 -8.8917e-01 -2.3359e+00 -4.3776e+00 -1.5679e+00 -4.5445e+00 +1.8674e+00 +4.8090e+00 +1.0533e+00 +3.4830e-01 -9.0603e-01 -2.2691e-01
164245043 +2.440947476e+02 +2.440947476e+02 +1.244094748e+03 +1.244094748e+03 -4.6459e+00 +4.1040e+00 +3.8721e+00 +4.5273e+00 +2.0773e+00 -2.5362e+00 -2.6060e+00 -1.6705e+00 -2.5061e+00 +4.3421e-02 -1.1627e+00 -1.6360e+00 +1.1901e-01 -4.4422e+00 +3.2395e+00 +2.6827e+00 +3.4295e+00 -8.1023e-01 -6.7458e-01 -2.8155e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.433115345e+03 +1.433115345e+03 +1.503145345e+03 +1.503145345e+03 +1.6523e+00 -1.4683e+00 -2.6931e+00 +1.8380e+00 +2.8165e+00 -2.0213e+00 -2.1566e+00 +5.6369e-01 +1.5705e+00 +3.5389e+00 +3.8696e+00 +1.8330e+00 -3.7489e+00 -4.3294e+00 -6.4136e-01 -4.0777e+00 +8.1355e-01 +4.0083e+00 +1.9501e+00 +2.6822e-01
23 +1.085672856e+03 +1.085672856e+03 +1.155702856e+03 +1.155702856e+03 +4.8669e-01 -3.4239e+00 -2.9937e+00 -3.4679e+00 -9.3120e-02 +2.5595e+00 -3.8748e+00 +1.2305e+00 +1.7093e+00 -9.3634e-01 +2.3855e-01 +4.4611e-01 +3.7411e+00 +3.5326e+00 +9.6321e-01 -2.5846e+00 +2.1972e+00 -7.5114e-01 +3.0483e-01 +2.7098e+00
29 +9.721957764e+02 +9.721957764e+02 +1.042225776e+03 +1.042225776e+03 -5.9591e-01 -4.9162e+00 -1.0150e+00 -7.5446e-01 -1.7567e-01 +5.4441e-01 -3.5536e+00 +4.2323e+00 +2.2033e+00 -3.6334e+00 +3.7823e-02 -4.9008e+00 +6.9474e-01 +9.9460e-01 +2.6521e+00 -3.2423e+00 +4.5136e+00 +2.5159e+00 +4.0010e-02 +4.9530e-01
43 +7.764220376e+02 +7.764220376e+02 +8.464520376e+02 +8.464520376e+02 -1.3520e+00 +6.6831e-01 +1.1311e+00 +1.4139e+00 -5.9483e-01 +1.0157e+00 -2.0514e+00 +3.9892e+00 -3.6683e+00 -3.2729e+00 -3.0325e+00 -7.4166e-01 +4.4491e+00 -2.8752e+00 +1.1959e+00 -1.5790e+00 +2.7140e+00 +1.8094e+00 -4.5562e+00 +3.4503e-02
193 +7.656780019e+02 +7.656780019e+02 +8.357080019e+02 +8.357080019e+02 -2.6601e+00 -1.3791e+00 -4.2144e+00 +1.7738e+00 -2.7301e+00 +2.4720e+00 -3.0962e+00 +1.5520e+00 +3.5901e+00 -4.6574e+00 +2.6039e-02 -7.9679e-01 +3.8316e+00 -5.4627e-01 +2.4926e+00 +9.1246e-01 -1.0075e+00 -5.1450e-01 -3.7117e+00 +5.2423e-01
