% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.559824903e+02 +2.559824903e+02 +3.354624903e+02 +3.354624903e+02 -1.2556e+00 +4.3792e+00 -1.6454e+00 -6.7992e-02 +4.6382e+00 -3.3251e+00 -4.8492e-02 -2.4307e+00 +3.7797e+00 -3.6873e+00 -1.3955e+00 +1.5418e+00 -4.8188e+00 +1.3417e+00 +4.9884e+00 -8.8654e-02 -1.2807e-01 +2.7495e+00 +4.9974e+00 -1.5979e+00
4 +2.302813278e+02 +2.302813278e+02 +3.097613278e+02 +3.097613278e+02 -2.5597e+00 -4.1133e+00 +2.4831e+00 -1.0729e+00 -1.3478e+00 +7.2504e-01 -2.8463e+00 -5.2573e-01 +4.0300e+00 +8.3295e-01 +4.4545e+00 +1.6451e-01 -4.9469e-01 +2.0593e+00 +4.9628e+00 +6.6212e-01 +6.0305e-01 +2.8851e+00 +3.7518e+00 +2.8419e+00
6 +1.337015486e+02 +1.337015486e+02 +2.131815486e+02 +2.131815486e+02 +7.8611e-01 -3.1084e-01 -1.8903e+00 +1.4888e-01 -3.6130e+00 +1.5936e+00 +1.5539e-01 +2.6570e+00 -3.5932e+00 -2.6292e+00 -4.9181e+00 +2.7844e+00 +2.1024e+00 -1.4919e+00 +1.3102e+00 +1.0131e+00 -3.0928e+00 +2.5132e+00 -3.7867e+00 -2.3255e+00
55 +1.306982671e+02 +1.306982671e+02 +2.101782671e+02 +2.101782671e+02 +5.1543e-02 -8.3404e-01 -4.3582e+00 +1.9126e+00 +1.0288e+00 +4.4213e+00 -1.7312e+00 -1.4219e+00 +4.7073e+00 -4.4173e+00 -3.7632e+00 +2.1772e+00 +1.4511e+00 -9.6107e-01 +3.8133e+00 +3.0419e+00 -4.6453e+00 -3.7489e+00 -1.8809e+00 +2.4398e+00
82 +1.119346246e+02 +1.119346246e+02 +1.914146246e+02 +1.914146246e+02 +1.8813e+00 +6.0234e-01 +7.1525e-01 +2.3103e+00 -3.5506e-03 +2.7769e+00 -2.3780e+00 -3.8506e+00 +2.7046e+00 -2.9088e+00 -3.8372e+00 +4.8603e+00 -3.2968e-01 -3.7400e+00 +2.2471e+00 +7.9453e-01 -3.4655e+00 -3.9284e+00 +4.7902e+00 -7.9885e-01
416 +1.009203300e+02 +1.009203300e+02 +1.804003300e+02 +1.804003300e+02 +1.6099e+00 +5.8741e-01 +1.0485e+00 +1.5650e+00 +9.8122e-01 +4.3413e-01 -1.1897e+00 -1.4153e+00 -2.8388e+00 -1.8915e+00 +2.3677e-01 +2.9994e+00 -4.3164e+00 -1.6458e+00 +1.3296e+00 +3.8106e+00 -2.7586e+00 -4.6159e+00 -1.3807e-01 +3.3308e+00
904 +8.820678033e+01 +8.820678033e+01 +1.676867803e+02 +1.676867803e+02 +4.1132e+00 -2.2386e+00 -2.0440e+00 +1.0590e+00 -3.1675e+00 +5.7933e-01 +3.6798e-01 -8.5126e-01 -4.7595e+00 -2.8887e+00 -5.7974e-01 +3.0601e+00 +1.4658e+00 +1.8880e+00 +1.8577e+00 +1.2294e+00 +3.5764e+00 -4.6161e+00 +4.8028e+00 -2.6950e+00
3101 +8.675141974e+01 +8.675141974e+01 +1.662314197e+02 +1.662314197e+02 -8.5523e-01 -7.0492e-01 -3.3135e-01 +5.3789e-01 -2.3819e+00 +4.5353e+00 +3.7530e+00 +2.2369e+00 -2.8096e+00 -3.0457e+00 -1.5585e+00 +9.9445e-01 -2.4404e+00 +2.6982e+00 +1.4060e+00 +2.1934e-01 +1.0668e+00 -3.4486e+00 +3.2187e+00 +3.4552e+00
9124 +8.297296453e+01 +8.297296453e+01 +1.624529645e+02 +1.624529645e+02 -2.4823e+00 -1.2337e-01 +1.4006e-01 +1.8274e+00 -3.7512e+00 -1.7778e-01 -4.3244e+00 +1.7737e+00 -2.3990e+00 -3.1029e+00 -4.6666e+00 -1.3234e+00 +2.3440e+00 -2.4442e+00 +1.1518e+00 +2.9085e+00 -1.6512e+00 -3.6645e+00 -6.4480e-02 -2.8429e+00
9692 +6.963412311e+01 +6.963412311e+01 +1.491141231e+02 +1.491141231e+02 +6.2909e-01 -4.8936e+00 -2.8533e+00 +1.9215e+00 -3.6896e+00 -2.4090e+00 +5.7331e-01 -9.5332e-01 -1.9092e+00 -2.3737e+00 -2.6889e+00 -1.8408e-01 +1.7261e+00 +3.9126e+00 +3.8636e+00 +2.6110e-01 -1.4934e+00 -4.1956e+00 +3.8733e+00 -1.0542e+00
16610 +6.445123751e+01 +6.445123751e+01 +1.439312375e+02 +1.439312375e+02 +9.6284e-01 -2.5282e+00 -2.2921e+00 +1.6711e+00 -2.9875e+00 +2.8263e+00 +1.5200e+00 +6.5404e-01 +5.7329e-01 -1.2672e+00 -4.9077e+00 +2.0740e+00 -1.5385e+00 +6.9016e-01 +1.2949e-01 +4.8576e+00 +2.7805e+00 -3.7984e+00 -5.2497e-01 +2.4265e+00
25146 +5.362795717e+01 +5.362795717e+01 +1.331079572e+02 +1.331079572e+02 +1.1897e+00 -2.9016e+00 +1.2124e+00 +4.0226e+00 -2.0920e+00 +5.7311e-01 +3.5535e-01 +2.0506e+00 -2.0545e+00 -2.8584e+00 -2.8368e+00 +1.5802e+00 -1.3727e+00 +2.5619e+00 +2.2372e+00 +2.7418e+00 -1.5747e+00 -3.9939e+00 +6.1985e-01 -2.5904e+00
88585 +5.237249891e+01 +5.237249891e+01 +1.318524989e+02 +1.318524989e+02 -3.9534e-01 -3.8849e+00 -1.9097e+00 +4.1614e+00 -8.6804e-01 +8.3973e-01 -1.4916e+00 +2.3788e+00 -2.6041e+00 -4.4612e+00 -1.4436e+00 +3.6022e+00 -1.9785e-01 -7.5248e-01 +1.2172e+00 +3.5613e+00 -2.0861e+00 -4.8804e+00 +1.9787e+00 -4.0214e-01
103120 +5.031304526e+01 +5.031304526e+01 +1.297930453e+02 +1.297930453e+02 +1.4585e+00 -2.3276e+00 -2.2260e+00 +1.4200e+00 -2.2453e+00 +8.3455e-01 -1.7055e+00 +2.0458e+00 -1.3540e+00 -4.8462e+00 -2.0324e+00 +2.3030e+00 +1.0529e-01 -4.8265e-01 +4.2773e+00 +1.5050e+00 -2.6569e+00 -5.2293e-01 +9.4835e-01 +4.2225e+00
373943 +4.837580720e+01 +4.837580720e+01 +1.278558072e+02 +1.278558072e+02 -1.5329e+00 +1.7236e-01 +2.0785e+00 +7.6438e-01 -2.7680e+00 +1.4861e+00 -1.0080e+00 +1.8458e+00 -1.6291e+00 -2.8391e+00 -7.6157e-01 +2.1471e+00 -7.1330e-01 +2.5745e-01 +9.6087e-01 +8.5474e-01 -4.9343e-01 -3.7606e+00 +1.8578e-01 +1.2076e+00
417013 +4.522510461e+01 +4.522510461e+01 +1.247051046e+02 +1.247051046e+02 -4.0065e-01 +9.5302e-01 -1.0148e+00 +3.5368e+00 -1.9578e+00 +1.5007e+00 +1.1380e+00 -7.3911e-01 -4.8899e+00 -4.8150e+00 -3.1817e+00 +4.3758e+00 -1.7756e+00 -1.3324e+00 +3.8963e+00 +2.4506e+00 +8.2620e-01 -2.3894e+00 +2.7091e+00 +2.1270e+00
496514 +4.353682157e+01 +4.353682157e+01 +1.230168216e+02 +1.230168216e+02 +1.1097e+00 -4.9796e-01 +2.7888e+00 +1.8647e+00 +3.8061e-01 +1.0980e-01 -3.1924e-01 -3.0136e-01 -2.2762e+00 -1.4718e+00 -3.3860e+00 +3.4056e+00 +8.2866e-01 +1.3018e+00 +1.9929e+00 +4.3667e+00 +1.7182e-02 -3.6030e+00 -1.4103e-01 +2.7814e+00
600778 +2.594100553e+01 +2.594100553e+01 +1.054210055e+02 +1.054210055e+02 +1.4330e+00 +4.5441e-01 -4.7948e-01 +3.0365e+00 -2.0177e+00 +1.0804e+00 -1.0568e+00 +1.0035e+00 -1.5174e+00 -2.4556e+00 -2.4955e+00 +3.5685e+00 +3.4550e+00 -7.6902e-02 +3.2306e+00 +9.4279e-01 +7.4432e-01 -2.4448e+00 +1.4154e+00 +1.2170e+00
6749299 +2.295127772e+01 +2.295127772e+01 +1.024312777e+02 +1.024312777e+02 +7.4702e-02 -3.3130e-01 -1.3545e+00 +1.8877e+00 -4.2519e+00 +2.7577e+00 +1.7313e+00 +9.1875e-01 -1.8774e+00 -3.7871e+00 -3.9243e+00 +1.8868e+00 +7.6890e-01 -8.5635e-01 +3.1256e+00 +6.9962e-01 -6.4199e-01 -3.6409e+00 +1.4242e+00 -1.3982e-01
51687170 +2.232412373e+01 +2.232412373e+01 +1.018041237e+02 +1.018041237e+02 +2.4864e+00 +6.0038e-02 -2.5583e-01 +2.3639e+00 -4.2084e+00 -4.7255e-01 -4.8522e-02 -2.0461e+00 -2.3931e+00 -4.0131e+00 -4.2272e+00 +2.7038e+00 +7.0995e-01 +6.5464e-01 +3.9894e+00 +2.5604e+00 -3.8449e-01 -3.3280e+00 +3.3648e-01 +1.4719e+00
136380040 +1.773549044e+01 +1.773549044e+01 +9.721549044e+01 +9.721549044e+01 -5.3188e-01 -1.0778e+00 -2.5001e+00 +1.1198e+00 -3.7403e+00 +9.3661e-01 -1.6559e+00 +4.4321e-01 -2.7163e+00 -3.1315e+00 -4.1768e+00 +1.3602e+00 +1.0532e+00 -2.8813e-02 +1.4167e+00 +2.7885e+00 -1.1954e+00 -2.7410e+00 +2.4040e+00 +1.8162e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.377899710e+02 +2.377899710e+02 +6.322699710e+02 +6.322699710e+02 -3.6939e-01 +4.5511e+00 -3.5654e+00 +3.9519e+00 -2.4406e+00 +2.6786e+00 +4.0625e+00 +1.6702e+00 +1.6368e-01 -2.8860e+00 +2.3582e+00 +7.8185e-01 -1.0863e+00 -4.8852e+00 -4.4312e+00 +1.4369e+00 +2.5528e+00 -1.1486e+00 -2.2215e+00 +8.5774e-01
15 +1.427616471e+02 +1.427616471e+02 +5.372416471e+02 +5.372416471e+02 -4.5638e+00 -5.7585e-02 -2.5266e+00 +3.1701e+00 +7.5453e-01 -2.0058e+00 +1.7777e-01 -2.6657e+00 -3.0011e+00 -8.7967e-01 +1.9393e+00 +1.6274e+00 -2.2878e+00 +1.5950e-01 +2.4730e+00 +4.3542e+00 -5.1148e-01 -4.0409e+00 +4.7359e+00 +1.3284e+00
241 +1.137659429e+02 +1.137659429e+02 +5.082459429e+02 +5.082459429e+02 +2.6724e+00 -3.0801e+00 -4.2692e+00 +3.4334e+00 +2.3115e+00 -1.5176e+00 +1.3797e+00 -3.1814e+00 -8.4286e-01 -3.1752e+00 +1.9677e-01 +2.0271e+00 +4.6429e-01 +2.8074e+00 +1.4550e+00 +1.1719e+00 -1.5898e-01 +1.8252e+00 -4.0578e-01 +1.0003e+00
743 +9.869130245e+01 +9.869130245e+01 +4.931713024e+02 +4.931713024e+02 +2.1413e+00 -7.7654e-01 -3.9411e+00 +2.1421e+00 +1.2793e+00 -4.3390e+00 +2.6374e+00 -3.3097e-01 -2.1770e+00 -2.7418e+00 -2.8605e-01 +2.2855e+00 +4.2735e-01 +3.0500e+00 +1.9620e+00 +1.9977e+00 -3.1598e+00 -3.2414e+00 -4.0663e-01 +3.0872e+00
8283 +8.339133572e+01 +8.339133572e+01 +4.778713357e+02 +4.778713357e+02 -1.5922e+00 +7.4491e-01 -2.5271e+00 +2.1230e+00 +1.1892e+00 -2.9928e+00 +3.6468e+00 -1.0984e+00 +1.1187e+00 -3.1805e+00 +1.9932e+00 +1.1240e-01 +3.8421e-01 +4.1049e+00 +2.2967e+00 +8.0443e-01 -3.5093e+00 -9.2786e-01 +8.5403e-01 +4.3323e+00
9644 +5.986936743e+01 +5.986936743e+01 +4.543493674e+02 +4.543493674e+02 -2.9456e+00 -1.1953e+00 -2.7685e+00 +4.9965e+00 +1.3890e+00 -3.9293e+00 +1.4809e+00 -3.4864e+00 -4.2418e-01 -3.4179e+00 +3.2891e+00 -7.3986e-01 -1.7011e+00 +4.4139e+00 -4.8952e+00 +2.7562e+00 +1.1137e+00 -3.5558e+00 +3.6771e-01 +3.3902e-01
31473 +5.413670889e+01 +5.413670889e+01 +4.486167089e+02 +4.486167089e+02 -3.7125e+00 -2.3387e+00 -2.8686e+00 +1.7982e+00 +4.4154e+00 -2.6517e+00 +2.7791e+00 +2.4181e+00 +1.5851e-01 -1.1915e+00 +1.1688e+00 -1.3644e+00 +2.7903e+00 +4.3679e+00 -4.8010e+00 +1.3977e+00 -1.2839e+00 -4.4432e-01 -1.3114e+00 +1.9282e+00
106454 +5.086556482e+01 +5.086556482e+01 +4.453455648e+02 +4.453455648e+02 -3.3245e+00 -1.9150e+00 -3.4322e+00 +2.9342e+00 -3.2613e-01 -1.4192e+00 +4.6870e-01 -1.6876e+00 -3.1436e+00 -4.5779e+00 +1.6680e+00 +3.9566e-01 +3.1427e+00 +4.6217e+00 -2.1514e+00 -5.3335e-01 -2.3969e+00 -2.7407e+00 +1.7544e+00 +3.5731e+00
273138 +4.595647546e+01 +4.595647546e+01 +4.404364755e+02 +4.404364755e+02 -9.4511e-01 -4.8590e+00 -2.5934e+00 +2.8304e+00 +5.0851e-01 -1.4759e+00 +2.2039e+00 -3.7987e-01 -7.9955e-01 -4.7759e+00 -5.7548e-01 +4.3939e-01 +1.4351e+00 +3.0093e+00 -2.1087e+00 +4.3183e+00 -4.8204e+00 -1.9122e+00 -7.5132e-01 -1.7134e+00
2020000 +4.019415994e+01 +4.019415994e+01 +4.346741599e+02 +4.346741599e+02 -4.9416e+00 -1.2896e+00 -3.8753e+00 +2.9926e+00 -6.0361e-01 -3.2237e+00 +4.2738e+00 +1.4139e+00 -7.6939e-01 -4.2864e+00 +4.2089e+00 +3.7408e+00 +2.7377e+00 +3.2610e+00 -3.0635e+00 +4.9878e+00 -3.8912e+00 -3.3125e+00 -6.0909e-01 +3.6348e+00
