% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.192030107e+03 +1.192030107e+03 +1.294640107e+03 +1.294640107e+03 +3.6906e+00 -4.7321e+00 -4.5951e+00 -1.8352e+00 -4.5342e-02 -2.7423e-01 +4.4008e+00 +2.4759e+00 +3.8893e+00 +3.8831e+00 -2.9839e+00 -4.4946e+00 -3.5461e+00 -2.5025e+00 -3.2868e+00 -4.9256e+00 +4.7425e+00 +1.6228e+00 -5.0000e+00 -3.5385e+00
2 +9.526671929e+02 +9.526671929e+02 +1.055277193e+03 +1.055277193e+03 -4.5334e+00 +2.1687e+00 -2.0252e+00 -3.3556e+00 +2.0601e+00 +4.3489e+00 +4.4015e+00 +2.0583e+00 +3.3383e+00 -3.8723e+00 -4.5980e+00 +4.9788e+00 +4.1585e+00 -2.7203e+00 +4.7573e+00 -4.3394e-01 +2.3034e+00 +2.6839e+00 +4.3202e+00 +2.3388e+00
3 +8.955087636e+02 +8.955087636e+02 +9.981187636e+02 +9.981187636e+02 +4.8102e+00 -3.8815e+00 -3.4049e+00 -2.5639e+00 -9.7293e-01 +2.1538e+00 -6.4898e-01 -6.4774e-01 -4.9828e+00 +4.2933e+00 +1.5145e+00 -1.4826e-01 +4.3914e+00 -1.9535e+00 -1.1109e+00 +2.8048e+00 +1.8751e+00 +1.4443e-01 -2.5100e+00 -3.1053e+00
4 +6.400232892e+02 +6.400232892e+02 +7.426332892e+02 +7.426332892e+02 -7.7194e-01 +8.3362e-01 -3.9725e+00 +1.8157e+00 +2.4116e+00 -3.4222e+00 +8.4141e-01 +1.1732e+00 -8.7266e-01 -3.1912e+00 -2.7546e+00 +2.6212e+00 -2.5727e+00 -2.9193e+00 +1.7774e+00 -4.0578e-01 +2.8907e+00 -2.7054e-01 -1.9663e+00 +1.1002e+00
9 +6.010159513e+02 +6.010159513e+02 +7.036259513e+02 +7.036259513e+02 -3.9940e-01 +4.2164e-01 -1.4357e+00 +6.6236e-01 +2.2567e+00 +2.3104e+00 -1.2625e+00 -2.5528e+00 -3.4455e+00 -2.3768e+00 -2.2743e+00 +6.4675e-01 -8.5143e-01 +9.7070e-01 +3.3894e+00 +4.8042e+00 +1.8360e+00 +2.5139e+00 -3.1815e+00 -3.4900e-01
15 +5.409852493e+02 +5.409852493e+02 +6.435952493e+02 +6.435952493e+02 -3.8592e+00 -5.6388e-01 -4.2649e+00 -1.2462e+00 +1.0545e+00 +2.8357e+00 +2.7653e+00 -3.3706e-01 -5.0659e-01 -4.4664e+00 -1.2670e+00 +4.0018e+00 +3.3927e+00 -1.4638e+00 -1.8925e-01 +9.7399e-01 +2.7336e+00 +1.8502e+00 -1.6839e+00 -2.0618e+00
36 +4.991914931e+02 +4.991914931e+02 +6.018014931e+02 +6.018014931e+02 +2.4785e+00 +4.4157e+00 -3.1242e+00 +3.0542e+00 -1.9095e+00 +2.6273e+00 -4.2698e+00 -2.3857e+00 -1.3824e+00 +4.0911e+00 -1.8790e+00 -7.0448e-01 -2.3907e+00 -2.5482e+00 +1.3344e+00 +9.2280e-01 +6.8433e-01 -8.1266e-02 +3.5875e+00 -2.2987e+00
46 +4.298740588e+02 +4.298740588e+02 +5.324840588e+02 +5.324840588e+02 -2.7922e-01 +7.2049e-01 +9.1327e-01 +3.1998e+00 -5.6601e-01 +1.5533e+00 +3.2352e+00 -1.0075e+00 -2.1508e+00 +3.8129e+00 -2.1142e+00 -1.6576e+00 +5.1447e-01 +4.7284e+00 -2.6419e+00 -2.2441e+00 -1.4187e-01 -5.7619e-01 +2.1993e+00 -1.4309e+00
2112 +4.139561331e+02 +4.139561331e+02 +5.165661331e+02 +5.165661331e+02 +2.2790e+00 -3.9774e-01 +1.7564e+00 +3.9732e+00 -1.4665e+00 -2.0091e+00 -6.8388e-01 +1.2943e+00 -3.2368e+00 +2.7058e+00 -4.6600e-01 +9.0650e-01 +9.8920e-01 +2.7246e+00 -6.8257e-01 +7.1221e-01 +2.7010e+00 -1.6106e+00 +4.2352e+00 +8.6930e-01
8040 +3.870251470e+02 +3.870251470e+02 +4.896351470e+02 +4.896351470e+02 +2.3359e+00 -3.5261e+00 -2.8355e+00 +3.7842e+00 -4.0073e+00 -1.7002e+00 -1.8447e+00 -2.4707e+00 -3.1296e-01 +1.1372e+00 -9.4625e-01 +3.5692e-01 -2.6652e+00 +2.2229e+00 -4.7241e+00 -1.6981e+00 -4.5804e+00 -1.1873e+00 -1.3209e+00 +4.0746e-02
